source,taxonomy,window,code,name,taxonomy_class,measure_class,n_facts,n_filings,resolved_id,tier,confidence,rule,seen_in_train,in_crosswalk,declared_out_of_core,baseline_naive,gold
eurostat_cofog,gfs,train,GF0704,Public health services,standard,monetary,13359,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0601,Housing development,standard,monetary,13347,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0804,Religious and other community services,standard,monetary,13346,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0407,Other industries,standard,monetary,13336,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF1007,Social exclusion n.e.c.,standard,monetary,13334,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0602,Community development,standard,monetary,13331,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0404,"Mining, manufacturing and construction",standard,monetary,13322,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0603,Water supply,standard,monetary,13322,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0403,Fuel and energy,standard,monetary,13321,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0803,Broadcasting and publishing services,standard,monetary,13277,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0103,General services,standard,monetary,13273,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0606,Housing and community amenities n.e.c.,standard,monetary,13270,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0301,Police services,standard,monetary,13256,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0106,General public services n.e.c.,standard,monetary,13248,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0406,Communication,standard,monetary,13247,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0201,Military defence,standard,monetary,13240,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0302,Fire-protection services,standard,monetary,13239,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0104,Basic research,standard,monetary,13221,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0502,Waste water management,standard,monetary,13192,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0306,Public order and safety n.e.c.,standard,monetary,13186,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0304,Prisons,standard,monetary,13169,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0303,Law courts,standard,monetary,13163,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0903,Post-secondary non-tertiary education,standard,monetary,13159,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0701,"Medical products, appliances and equipment",standard,monetary,13137,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0907,R&D Education,standard,monetary,13128,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0604,Street lighting,standard,monetary,13114,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0205,Defence n.e.c.,standard,monetary,13107,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0504,Protection of biodiversity and landscape,standard,monetary,13106,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0806,"Recreation, culture and religion n.e.c.",standard,monetary,13094,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF1003,Survivors,standard,monetary,13061,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0305,R&D Public order and safety,standard,monetary,13004,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0705,R&D Health,standard,monetary,12968,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0408,R&D Economic affairs,standard,monetary,12967,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0102,Foreign economic aid,standard,monetary,12932,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0107,Public debt transactions,standard,monetary,12905,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0503,Pollution abatement,standard,monetary,12883,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0505,R&D Environmental protection,standard,monetary,12881,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0204,R&D Defence,standard,monetary,12864,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0105,R&D General public services,standard,monetary,12797,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF1008,R&D Social protection,standard,monetary,12793,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0203,Foreign military aid,standard,monetary,12777,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0805,"R&D Recreation, culture and religion",standard,monetary,12767,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0202,Civil defence,standard,monetary,12729,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0409,Economic affairs n.e.c.,standard,monetary,12692,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0605,R&D Housing and community amenities,standard,monetary,12670,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0108,Transfers of a general character between different levels of government,standard,monetary,12572,29,,escalated,0.0,,True,False,False,,
eurostat_na_item,gfs,holdout,TE,Total general government expenditure,standard,monetary,9621,30,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,holdout,P3,Final consumption expenditure,standard,monetary,9600,30,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,holdout,P2,Intermediate consumption,standard,monetary,9594,30,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,holdout,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,standard,monetary,9560,30,equity.capital,tier2_keyword,0.85,tier2:equity.capital:capital,True,False,True,,
eurostat_na_item,gfs,holdout,P5,Gross capital formation,standard,monetary,9560,30,equity.capital,tier2_keyword,0.85,tier2:equity.capital:capital,True,False,True,,
eurostat_na_item,gfs,holdout,P51G,Gross fixed capital formation,standard,monetary,9559,30,ASSET_InfrastructureAssets,tier1_exact,1.0,tier1:gfs:P51G,True,True,False,,
