cofog99,cofog99_label_en,na_item,na_item_label_en,window,n_observations,n_countries,n_years,sum_abs_value
GF0103,General services,P51G,Gross fixed capital formation,holdout,121,30,5,123940.1
GF0103,General services,P51G,Gross fixed capital formation,train,697,30,26,427612.3
GF0103,General services,TE,Total general government expenditure,holdout,121,30,5,797388.4
GF0103,General services,TE,Total general government expenditure,train,698,30,26,2902186.9
GF0104,Basic research,D1,Compensation of employees,holdout,121,30,5,156424.3
GF0104,Basic research,D1,Compensation of employees,train,698,30,26,539145.3
GF0104,Basic research,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",holdout,113,28,5,3845.8
GF0104,Basic research,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",train,637,28,26,17186.2
GF0104,Basic research,D3,Subsidies,holdout,117,29,5,13242.6
GF0104,Basic research,D3,Subsidies,train,640,29,26,43846.9
GF0104,Basic research,D4,Property income,holdout,109,27,5,17.1
GF0104,Basic research,D4,Property income,train,631,27,26,16.2
GF0104,Basic research,D4_S1311,"Property income, of which payable to subsector S1311",holdout,4,1,4,0.0
GF0104,Basic research,D4_S1311,"Property income, of which payable to subsector S1311",train,20,1,20,0.0
GF0104,Basic research,D4_S1312,"Property income, of which payable to subsector S1312",holdout,4,1,4,0.0
GF0104,Basic research,D4_S1312,"Property income, of which payable to subsector S1312",train,20,1,20,0.0
