codelist_id,code,label_en,parent_code,description
CL_GFS_INDICATOR,G28_T,"Other expense, Transactions",,"Expenses incurred by the government that do not fit into specific categories and are classified as miscellaneous expenses. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G28_TCB_CAB,"Other expense, Transactions (cash basis of recording), Cash basis",,Expenses incurred by the government that do not fit into specific categories and are classified as miscellaneous expenses. Transactions (cash basis of recording). Cash basis
CL_GFS_INDICATOR,G2G_T,"Expense excluding consumption of fixed capital, Transactions",,"The total outflow of resources for operating expenses, excluding the depreciation of fixed assets. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G2M_T,"Expenditure, Transactions",,"Expenditure refers to the total outflow of resources, including payments, purchases, and transfers, made by a government entity during a specific period to fulfill its various functions and obligations. It encompasses spending on goods and services, wages and salaries, social benefits, debt servicing, infrastructure investments, and other government programs and activities. Expenditure represents the utilization of government funds to provide public services, maintain infrastructure, implement policies, and meet financial obligations. Monitoring expenditure patterns and allocations provides insight into government priorities, policy objectives, and fiscal sustainability.  Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G2M_TCB_CAB,"Expenditure, Transactions (cash basis of recording), Cash basis",,"Expenditure refers to the total outflow of resources, including payments, purchases, and transfers, made by a government entity during a specific period to fulfill its various functions and obligations. It encompasses spending on goods and services, wages and salaries, social benefits, debt servicing, infrastructure investments, and other government programs and activities. Expenditure represents the utilization of government funds to provide public services, maintain infrastructure, implement policies, and meet financial obligations. Monitoring expenditure patterns and allocations provides insight into government priorities, policy objectives, and fiscal sustainability.  Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,G2_T,"Expense, Transactions",,"The total outflow of resources, including payments, purchases, and transfers, made by a government entity during a specific period to fulfill its various functions and obligations. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G2_TCB_CAB,"Expense, Transactions (cash basis of recording), Cash basis",,"The total outflow of resources, including payments, purchases, and transfers, made by a government entity during a specific period to fulfill its various functions and obligations. Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,G31_A_T,"Investment in nonfinancial assets (acquisitions less disposals), Transactions",,"Expenditures by the government on acquiring, constructing, or improving physical assets such as infrastructure, buildings, and equipment. Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G31_A_TCB_CAB,"Investment in nonfinancial assets (acquisitions less disposals), Transactions (cash basis of recording), Cash basis",,"Expenditures by the government on acquiring, constructing, or improving physical assets such as infrastructure, buildings, and equipment. Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,G32OTCD_DD_A_TCB_CAB_MI,"Net acquisition of financial assets other than cash: domestic, Domestic Debtors, Transactions (cash basis of recording), Cash basis, Memorandum Item",,"The net increase in the government's financial assets within the domestic economy, excluding cash. Domestic Debtors Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Transactions (cash basis of recording). Cash basis Memorandum Item"
